I, [2014-11-25T19:33:41.205653 #15155]  INFO -- Kitchen: -----> Starting Kitchen (v1.2.1)
E, [2014-11-25T19:33:41.205935 #15155] ERROR -- Kitchen: ------Exception-------
E, [2014-11-25T19:33:41.205974 #15155] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2014-11-25T19:33:41.205994 #15155] ERROR -- Kitchen: Message: Kitchen YAML file /Users/thisguy/work/ansible/vagrant_docker/.kitchen.yml does not exist.
E, [2014-11-25T19:33:41.206014 #15155] ERROR -- Kitchen: ------Backtrace-------
E, [2014-11-25T19:33:41.206033 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2014-11-25T19:33:41.206084 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:78:in `data'
E, [2014-11-25T19:33:41.206106 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:66:in `suites'
E, [2014-11-25T19:33:41.206135 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:90:in `filter_instances'
E, [2014-11-25T19:33:41.206154 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:72:in `build_instances'
E, [2014-11-25T19:33:41.206191 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:52:in `instances'
E, [2014-11-25T19:33:41.206210 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command.rb:64:in `get_filtered_instances'
E, [2014-11-25T19:33:41.206228 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command.rb:85:in `parse_subcommand'
E, [2014-11-25T19:33:41.206246 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command/action.rb:37:in `block in call'
E, [2014-11-25T19:33:41.206267 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2014-11-25T19:33:41.206286 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command/action.rb:36:in `call'
E, [2014-11-25T19:33:41.206315 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:47:in `perform'
E, [2014-11-25T19:33:41.206333 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:118:in `block (2 levels) in <class:CLI>'
E, [2014-11-25T19:33:41.206351 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2014-11-25T19:33:41.206369 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2014-11-25T19:33:41.206387 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:233:in `invoke_task'
E, [2014-11-25T19:33:41.206405 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2014-11-25T19:33:41.206423 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2014-11-25T19:33:41.206444 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/bin/kitchen:13:in `block in <top (required)>'
E, [2014-11-25T19:33:41.206463 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/errors.rb:81:in `with_friendly_errors'
E, [2014-11-25T19:33:41.206481 #15155] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/bin/kitchen:13:in `<top (required)>'
E, [2014-11-25T19:33:41.206499 #15155] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:10:in `load'
E, [2014-11-25T19:33:41.206517 #15155] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:10:in `<main>'
E, [2014-11-25T19:33:41.206539 #15155] ERROR -- Kitchen: ----------------------
